date,home_team,away_team,tournament,kickoff_utc
2026-06-11,Mexico,South Africa,FIFA World Cup,2026-06-11 19:00:00+00:00
2026-06-11,South Korea,Czech Republic,FIFA World Cup,2026-06-12 02:00:00+00:00
2026-06-12,Canada,Bosnia & Herzegovina,FIFA World Cup,2026-06-12 19:00:00+00:00
2026-06-12,USA,Paraguay,FIFA World Cup,2026-06-13 01:00:00+00:00
2026-06-13,Qatar,Switzerland,FIFA World Cup,2026-06-13 19:00:00+00:00
2026-06-13,Brazil,Morocco,FIFA World Cup,2026-06-13 22:00:00+00:00
2026-06-13,Haiti,Scotland,FIFA World Cup,2026-06-14 01:00:00+00:00
2026-06-13,Australia,Turkey,FIFA World Cup,2026-06-14 04:00:00+00:00
2026-06-14,Germany,Curaçao,FIFA World Cup,2026-06-14 17:00:00+00:00
2026-06-14,Netherlands,Japan,FIFA World Cup,2026-06-14 20:00:00+00:00
2026-06-14,Ivory Coast,Ecuador,FIFA World Cup,2026-06-14 23:00:00+00:00
2026-06-14,Sweden,Tunisia,FIFA World Cup,2026-06-15 02:00:00+00:00
2026-06-15,Spain,Cape Verde,FIFA World Cup,2026-06-15 16:00:00+00:00
2026-06-15,Belgium,Egypt,FIFA World Cup,2026-06-15 19:00:00+00:00
2026-06-15,Saudi Arabia,Uruguay,FIFA World Cup,2026-06-15 22:00:00+00:00
2026-06-15,Iran,New Zealand,FIFA World Cup,2026-06-16 01:00:00+00:00
2026-06-16,France,Senegal,FIFA World Cup,2026-06-16 19:00:00+00:00
2026-06-16,Iraq,Norway,FIFA World Cup,2026-06-16 22:00:00+00:00
2026-06-16,Argentina,Algeria,FIFA World Cup,2026-06-17 01:00:00+00:00
2026-06-16,Austria,Jordan,FIFA World Cup,2026-06-17 04:00:00+00:00
2026-06-17,Portugal,DR Congo,FIFA World Cup,2026-06-17 17:00:00+00:00
2026-06-17,England,Croatia,FIFA World Cup,2026-06-17 20:00:00+00:00
2026-06-17,Ghana,Panama,FIFA World Cup,2026-06-17 23:00:00+00:00
2026-06-17,Uzbekistan,Colombia,FIFA World Cup,2026-06-18 02:00:00+00:00
2026-06-18,Czech Republic,South Africa,FIFA World Cup,2026-06-18 16:00:00+00:00
2026-06-18,Switzerland,Bosnia & Herzegovina,FIFA World Cup,2026-06-18 19:00:00+00:00
2026-06-18,Canada,Qatar,FIFA World Cup,2026-06-18 22:00:00+00:00
2026-06-18,Mexico,South Korea,FIFA World Cup,2026-06-19 01:00:00+00:00
2026-06-19,USA,Australia,FIFA World Cup,2026-06-19 19:00:00+00:00
2026-06-19,Scotland,Morocco,FIFA World Cup,2026-06-19 22:00:00+00:00
2026-06-19,Brazil,Haiti,FIFA World Cup,2026-06-20 00:30:00+00:00
2026-06-19,Turkey,Paraguay,FIFA World Cup,2026-06-20 03:00:00+00:00
2026-06-20,Netherlands,Sweden,FIFA World Cup,2026-06-20 17:00:00+00:00
2026-06-20,Germany,Ivory Coast,FIFA World Cup,2026-06-20 20:00:00+00:00
2026-06-20,Ecuador,Curaçao,FIFA World Cup,2026-06-21 00:00:00+00:00
2026-06-20,Tunisia,Japan,FIFA World Cup,2026-06-21 04:00:00+00:00
2026-06-21,Spain,Saudi Arabia,FIFA World Cup,2026-06-21 16:00:00+00:00
