date,home_team,away_team,identity_source_id,result_source_id,kickoff_source_id,venue_source_id,training_source_id,upstream_fixture_key,training_eligible
2026-08-28,Bayern München,Stuttgart,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:1,false
2026-08-29,RB Leipzig,Borussia Mönchengladbach,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:1,false
2026-08-29,Mainz,Paderborn,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:1,false
2026-08-29,Union Berlin,Eintracht Frankfurt,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:1,false
2026-08-29,Elversberg,Bayer Leverkusen,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:1,false
2026-08-29,Borussia Dortmund,Hamburger SV,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:1,false
2026-08-29,Augsburg,Schalke,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:1,false
2026-08-29,Köln,Hoffenheim,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:1,false
2026-08-29,Freiburg,Werder Bremen,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:1,false
2026-09-05,Werder Bremen,RB Leipzig,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:2,false
2026-09-05,Eintracht Frankfurt,Augsburg,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:2,false
2026-09-05,Hoffenheim,Borussia Dortmund,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:2,false
2026-09-05,Hamburger SV,Mainz,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:2,false
2026-09-05,Schalke,Bayern München,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:2,false
2026-09-05,Bayer Leverkusen,Union Berlin,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:2,false
2026-09-05,Stuttgart,Köln,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:2,false
2026-09-05,Borussia Mönchengladbach,Elversberg,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:2,false
2026-09-05,Paderborn,Freiburg,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:2,false
2026-09-12,Hoffenheim,Stuttgart,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:3,false
2026-09-12,Borussia Dortmund,Paderborn,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:3,false
2026-09-12,Augsburg,Bayer Leverkusen,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:3,false
2026-09-12,Union Berlin,Schalke,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:3,false
2026-09-12,Köln,Werder Bremen,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:3,false
2026-09-12,RB Leipzig,Hamburger SV,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:3,false
2026-09-12,Elversberg,Bayern München,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:3,false
2026-09-12,Mainz,Eintracht Frankfurt,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:3,false
2026-09-12,Freiburg,Borussia Mönchengladbach,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:3,false
2026-09-19,Paderborn,Hoffenheim,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:4,false
2026-09-19,Bayern München,Union Berlin,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:4,false
2026-09-19,Schalke,Elversberg,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:4,false
2026-09-19,Stuttgart,Borussia Dortmund,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:4,false
2026-09-19,Bayer Leverkusen,RB Leipzig,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:4,false
2026-09-19,Hamburger SV,Köln,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:4,false
2026-09-19,Borussia Mönchengladbach,Mainz,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:4,false
2026-09-19,Werder Bremen,Augsburg,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:4,false
2026-09-19,Eintracht Frankfurt,Freiburg,openfootball-deutschland,,openfootball-deutschland,,,openfootball-deutschland:2026-27:4,false
