date,home_team,away_team,tournament,kickoff_utc
2026-08-28,Bayern München,Stuttgart,Bundesliga,2026-08-28 18:30:00+00:00
2026-08-29,RB Leipzig,Borussia Mönchengladbach,Bundesliga,2026-08-29 13:30:00+00:00
2026-08-29,Mainz,Paderborn,Bundesliga,2026-08-29 13:30:00+00:00
2026-08-29,Union Berlin,Eintracht Frankfurt,Bundesliga,2026-08-29 13:30:00+00:00
2026-08-29,Elversberg,Bayer Leverkusen,Bundesliga,2026-08-29 13:30:00+00:00
2026-08-29,Borussia Dortmund,Hamburger SV,Bundesliga,2026-08-29 13:30:00+00:00
2026-08-29,Augsburg,Schalke,Bundesliga,2026-08-29 13:30:00+00:00
2026-08-29,Köln,Hoffenheim,Bundesliga,2026-08-29 13:30:00+00:00
2026-08-29,Freiburg,Werder Bremen,Bundesliga,2026-08-29 13:30:00+00:00
2026-09-05,Werder Bremen,RB Leipzig,Bundesliga,2026-09-05 13:30:00+00:00
2026-09-05,Eintracht Frankfurt,Augsburg,Bundesliga,2026-09-05 13:30:00+00:00
2026-09-05,Hoffenheim,Borussia Dortmund,Bundesliga,2026-09-05 13:30:00+00:00
2026-09-05,Hamburger SV,Mainz,Bundesliga,2026-09-05 13:30:00+00:00
2026-09-05,Schalke,Bayern München,Bundesliga,2026-09-05 13:30:00+00:00
2026-09-05,Bayer Leverkusen,Union Berlin,Bundesliga,2026-09-05 13:30:00+00:00
2026-09-05,Stuttgart,Köln,Bundesliga,2026-09-05 13:30:00+00:00
2026-09-05,Borussia Mönchengladbach,Elversberg,Bundesliga,2026-09-05 13:30:00+00:00
2026-09-05,Paderborn,Freiburg,Bundesliga,2026-09-05 13:30:00+00:00
2026-09-12,Hoffenheim,Stuttgart,Bundesliga,2026-09-12 13:30:00+00:00
2026-09-12,Borussia Dortmund,Paderborn,Bundesliga,2026-09-12 13:30:00+00:00
2026-09-12,Augsburg,Bayer Leverkusen,Bundesliga,2026-09-12 13:30:00+00:00
2026-09-12,Union Berlin,Schalke,Bundesliga,2026-09-12 13:30:00+00:00
2026-09-12,Köln,Werder Bremen,Bundesliga,2026-09-12 13:30:00+00:00
2026-09-12,RB Leipzig,Hamburger SV,Bundesliga,2026-09-12 13:30:00+00:00
2026-09-12,Elversberg,Bayern München,Bundesliga,2026-09-12 13:30:00+00:00
2026-09-12,Mainz,Eintracht Frankfurt,Bundesliga,2026-09-12 13:30:00+00:00
2026-09-12,Freiburg,Borussia Mönchengladbach,Bundesliga,2026-09-12 13:30:00+00:00
2026-09-19,Paderborn,Hoffenheim,Bundesliga,2026-09-19 13:30:00+00:00
2026-09-19,Bayern München,Union Berlin,Bundesliga,2026-09-19 13:30:00+00:00
2026-09-19,Schalke,Elversberg,Bundesliga,2026-09-19 13:30:00+00:00
2026-09-19,Stuttgart,Borussia Dortmund,Bundesliga,2026-09-19 13:30:00+00:00
2026-09-19,Bayer Leverkusen,RB Leipzig,Bundesliga,2026-09-19 13:30:00+00:00
2026-09-19,Hamburger SV,Köln,Bundesliga,2026-09-19 13:30:00+00:00
2026-09-19,Borussia Mönchengladbach,Mainz,Bundesliga,2026-09-19 13:30:00+00:00
2026-09-19,Werder Bremen,Augsburg,Bundesliga,2026-09-19 13:30:00+00:00
2026-09-19,Eintracht Frankfurt,Freiburg,Bundesliga,2026-09-19 13:30:00+00:00
2026-10-10,Mainz,Bayer Leverkusen,Bundesliga,2026-10-10 13:30:00+00:00
2026-10-10,Paderborn,Stuttgart,Bundesliga,2026-10-10 13:30:00+00:00
2026-10-10,Köln,Borussia Mönchengladbach,Bundesliga,2026-10-10 13:30:00+00:00
2026-10-10,RB Leipzig,Eintracht Frankfurt,Bundesliga,2026-10-10 13:30:00+00:00
2026-10-10,Freiburg,Schalke,Bundesliga,2026-10-10 13:30:00+00:00
2026-10-10,Union Berlin,Elversberg,Bundesliga,2026-10-10 13:30:00+00:00
2026-10-10,Hoffenheim,Hamburger SV,Bundesliga,2026-10-10 13:30:00+00:00
2026-10-10,Augsburg,Bayern München,Bundesliga,2026-10-10 13:30:00+00:00
2026-10-10,Borussia Dortmund,Werder Bremen,Bundesliga,2026-10-10 13:30:00+00:00
2026-10-17,Union Berlin,Borussia Dortmund,Bundesliga,2026-10-17 13:30:00+00:00
2026-10-17,Hamburger SV,Stuttgart,Bundesliga,2026-10-17 13:30:00+00:00
2026-10-17,Werder Bremen,Paderborn,Bundesliga,2026-10-17 13:30:00+00:00
2026-10-17,Elversberg,Augsburg,Bundesliga,2026-10-17 13:30:00+00:00
2026-10-17,Bayern München,RB Leipzig,Bundesliga,2026-10-17 13:30:00+00:00
2026-10-17,Borussia Mönchengladbach,Hoffenheim,Bundesliga,2026-10-17 13:30:00+00:00
2026-10-17,Bayer Leverkusen,Freiburg,Bundesliga,2026-10-17 13:30:00+00:00
2026-10-17,Eintracht Frankfurt,Köln,Bundesliga,2026-10-17 13:30:00+00:00
2026-10-17,Schalke,Mainz,Bundesliga,2026-10-17 13:30:00+00:00
2026-10-24,Mainz,Werder Bremen,Bundesliga,2026-10-24 13:30:00+00:00
2026-10-24,Köln,Schalke,Bundesliga,2026-10-24 13:30:00+00:00
2026-10-24,RB Leipzig,Elversberg,Bundesliga,2026-10-24 13:30:00+00:00
2026-10-24,Stuttgart,Borussia Mönchengladbach,Bundesliga,2026-10-24 13:30:00+00:00
2026-10-24,Paderborn,Hamburger SV,Bundesliga,2026-10-24 13:30:00+00:00
2026-10-24,Hoffenheim,Bayer Leverkusen,Bundesliga,2026-10-24 13:30:00+00:00
2026-10-24,Freiburg,Bayern München,Bundesliga,2026-10-24 13:30:00+00:00
2026-10-24,Borussia Dortmund,Eintracht Frankfurt,Bundesliga,2026-10-24 13:30:00+00:00
2026-10-24,Augsburg,Union Berlin,Bundesliga,2026-10-24 13:30:00+00:00
2026-10-31,Borussia Mönchengladbach,Paderborn,Bundesliga,2026-10-31 14:30:00+00:00
2026-10-31,Schalke,RB Leipzig,Bundesliga,2026-10-31 14:30:00+00:00
2026-10-31,Union Berlin,Köln,Bundesliga,2026-10-31 14:30:00+00:00
2026-10-31,Augsburg,Freiburg,Bundesliga,2026-10-31 14:30:00+00:00
2026-10-31,Werder Bremen,Hoffenheim,Bundesliga,2026-10-31 14:30:00+00:00
2026-10-31,Eintracht Frankfurt,Hamburger SV,Bundesliga,2026-10-31 14:30:00+00:00
2026-10-31,Bayern München,Borussia Dortmund,Bundesliga,2026-10-31 14:30:00+00:00
2026-10-31,Elversberg,Mainz,Bundesliga,2026-10-31 14:30:00+00:00
2026-10-31,Bayer Leverkusen,Stuttgart,Bundesliga,2026-10-31 14:30:00+00:00
2026-11-07,RB Leipzig,Augsburg,Bundesliga,2026-11-07 14:30:00+00:00
2026-11-07,Stuttgart,Werder Bremen,Bundesliga,2026-11-07 14:30:00+00:00
2026-11-07,Borussia Dortmund,Elversberg,Bundesliga,2026-11-07 14:30:00+00:00
2026-11-07,Mainz,Bayern München,Bundesliga,2026-11-07 14:30:00+00:00
2026-11-07,Hamburger SV,Borussia Mönchengladbach,Bundesliga,2026-11-07 14:30:00+00:00
2026-11-07,Paderborn,Eintracht Frankfurt,Bundesliga,2026-11-07 14:30:00+00:00
2026-11-07,Freiburg,Union Berlin,Bundesliga,2026-11-07 14:30:00+00:00
2026-11-07,Köln,Bayer Leverkusen,Bundesliga,2026-11-07 14:30:00+00:00
2026-11-07,Hoffenheim,Schalke,Bundesliga,2026-11-07 14:30:00+00:00
2026-11-21,Bayer Leverkusen,Paderborn,Bundesliga,2026-11-21 14:30:00+00:00
2026-11-21,Union Berlin,RB Leipzig,Bundesliga,2026-11-21 14:30:00+00:00
2026-11-21,Bayern München,Köln,Bundesliga,2026-11-21 14:30:00+00:00
2026-11-21,Elversberg,Freiburg,Bundesliga,2026-11-21 14:30:00+00:00
2026-11-21,Schalke,Stuttgart,Bundesliga,2026-11-21 14:30:00+00:00
2026-11-21,Borussia Mönchengladbach,Borussia Dortmund,Bundesliga,2026-11-21 14:30:00+00:00
2026-11-21,Werder Bremen,Hamburger SV,Bundesliga,2026-11-21 14:30:00+00:00
2026-11-21,Augsburg,Mainz,Bundesliga,2026-11-21 14:30:00+00:00
2026-11-21,Eintracht Frankfurt,Hoffenheim,Bundesliga,2026-11-21 14:30:00+00:00
2026-11-28,Köln,Elversberg,Bundesliga,2026-11-28 14:30:00+00:00
2026-11-28,Mainz,Union Berlin,Bundesliga,2026-11-28 14:30:00+00:00
2026-11-28,Paderborn,Schalke,Bundesliga,2026-11-28 14:30:00+00:00
2026-11-28,Werder Bremen,Borussia Mönchengladbach,Bundesliga,2026-11-28 14:30:00+00:00
2026-11-28,Stuttgart,Eintracht Frankfurt,Bundesliga,2026-11-28 14:30:00+00:00
2026-11-28,Hoffenheim,Augsburg,Bundesliga,2026-11-28 14:30:00+00:00
2026-11-28,Borussia Dortmund,Bayer Leverkusen,Bundesliga,2026-11-28 14:30:00+00:00
2026-11-28,Freiburg,RB Leipzig,Bundesliga,2026-11-28 14:30:00+00:00
2026-11-28,Hamburger SV,Bayern München,Bundesliga,2026-11-28 14:30:00+00:00
2026-12-05,Union Berlin,Hamburger SV,Bundesliga,2026-12-05 14:30:00+00:00
