date,home_team,away_team,identity_source_id,result_source_id,kickoff_source_id,venue_source_id,training_source_id,upstream_fixture_key,training_eligible
2026-08-23,Udinese,Como,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:1:udinese-como,false
2026-08-23,Bologna,Lazio,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:1:bologna-lazio,false
2026-08-23,Genoa,Napoli,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:1:genoa-napoli,false
2026-08-23,Inter,Monza,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:1:inter-monza,false
2026-08-23,Atalanta,Sassuolo,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:1:atalanta-sassuolo,false
2026-08-23,Torino,Milan,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:1:torino-milan,false
2026-08-23,Frosinone,Juventus,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:1:frosinone-juventus,false
2026-08-23,Parma,Cagliari,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:1:parma-cagliari,false
2026-08-23,Venezia,Lecce,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:1:venezia-lecce,false
2026-08-23,Roma,Fiorentina,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:1:roma-fiorentina,false
2026-08-30,Juventus,Parma,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:2:juventus-parma,false
2026-08-30,Sassuolo,Torino,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:2:sassuolo-torino,false
2026-08-30,Lecce,Roma,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:2:lecce-roma,false
2026-08-30,Lazio,Genoa,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:2:lazio-genoa,false
2026-08-30,Cagliari,Inter,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:2:cagliari-inter,false
2026-08-30,Monza,Udinese,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:2:monza-udinese,false
2026-08-30,Milan,Venezia,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:2:milan-venezia,false
2026-08-30,Napoli,Como,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:2:napoli-como,false
2026-08-30,Fiorentina,Frosinone,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:2:fiorentina-frosinone,false
2026-08-30,Atalanta,Bologna,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:2:atalanta-bologna,false
2026-09-06,Genoa,Como,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:3:genoa-como,false
2026-09-06,Cagliari,Lecce,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:3:cagliari-lecce,false
2026-09-06,Roma,Atalanta,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:3:roma-atalanta,false
2026-09-06,Parma,Monza,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:3:parma-monza,false
2026-09-06,Bologna,Sassuolo,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:3:bologna-sassuolo,false
2026-09-06,Inter,Napoli,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:3:inter-napoli,false
2026-09-06,Frosinone,Venezia,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:3:frosinone-venezia,false
2026-09-06,Fiorentina,Torino,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:3:fiorentina-torino,false
2026-09-06,Udinese,Lazio,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:3:udinese-lazio,false
2026-09-06,Juventus,Milan,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:3:juventus-milan,false
2026-09-13,Napoli,Bologna,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:4:napoli-bologna,false
2026-09-13,Lazio,Milan,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:4:lazio-milan,false
2026-09-13,Inter,Udinese,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:4:inter-udinese,false
2026-09-13,Como,Parma,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:4:como-parma,false
2026-09-13,Torino,Roma,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:4:torino-roma,false
2026-09-13,Genoa,Frosinone,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:4:genoa-frosinone,false
2026-09-13,Lecce,Monza,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:4:lecce-monza,false
2026-09-13,Venezia,Fiorentina,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:4:venezia-fiorentina,false
2026-09-13,Atalanta,Cagliari,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:4:atalanta-cagliari,false
2026-09-13,Sassuolo,Juventus,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:4:sassuolo-juventus,false
2026-09-20,Frosinone,Como,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:5:frosinone-como,false
2026-09-20,Roma,Inter,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:5:roma-inter,false
2026-09-20,Venezia,Lazio,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:5:venezia-lazio,false
2026-09-20,Juventus,Atalanta,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:5:juventus-atalanta,false
2026-09-20,Monza,Sassuolo,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:5:monza-sassuolo,false
2026-09-20,Milan,Lecce,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:5:milan-lecce,false
2026-09-20,Bologna,Torino,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:5:bologna-torino,false
2026-09-20,Udinese,Cagliari,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:5:udinese-cagliari,false
2026-09-20,Parma,Genoa,openfootball-italy,,openfootball-italy,,,openfootball-italy:2026-27:5:parma-genoa,false
