date,home_team,away_team,tournament,kickoff_utc
2026-08-23,Udinese,Como,Serie A,2026-08-23 16:30:00+00:00
2026-08-23,Bologna,Lazio,Serie A,2026-08-23 16:30:00+00:00
2026-08-23,Genoa,Napoli,Serie A,2026-08-23 16:30:00+00:00
2026-08-23,Inter,Monza,Serie A,2026-08-23 16:30:00+00:00
2026-08-23,Atalanta,Sassuolo,Serie A,2026-08-23 16:30:00+00:00
2026-08-23,Torino,Milan,Serie A,2026-08-23 16:30:00+00:00
2026-08-23,Frosinone,Juventus,Serie A,2026-08-23 16:30:00+00:00
2026-08-23,Parma,Cagliari,Serie A,2026-08-23 16:30:00+00:00
2026-08-23,Venezia,Lecce,Serie A,2026-08-23 16:30:00+00:00
2026-08-23,Roma,Fiorentina,Serie A,2026-08-23 16:30:00+00:00
2026-08-30,Juventus,Parma,Serie A,2026-08-30 16:30:00+00:00
2026-08-30,Sassuolo,Torino,Serie A,2026-08-30 16:30:00+00:00
2026-08-30,Lecce,Roma,Serie A,2026-08-30 16:30:00+00:00
2026-08-30,Lazio,Genoa,Serie A,2026-08-30 16:30:00+00:00
2026-08-30,Cagliari,Inter,Serie A,2026-08-30 16:30:00+00:00
2026-08-30,Monza,Udinese,Serie A,2026-08-30 16:30:00+00:00
2026-08-30,Milan,Venezia,Serie A,2026-08-30 16:30:00+00:00
2026-08-30,Napoli,Como,Serie A,2026-08-30 16:30:00+00:00
2026-08-30,Fiorentina,Frosinone,Serie A,2026-08-30 16:30:00+00:00
2026-08-30,Atalanta,Bologna,Serie A,2026-08-30 16:30:00+00:00
2026-09-06,Genoa,Como,Serie A,2026-09-06 16:30:00+00:00
2026-09-06,Cagliari,Lecce,Serie A,2026-09-06 16:30:00+00:00
2026-09-06,Roma,Atalanta,Serie A,2026-09-06 16:30:00+00:00
2026-09-06,Parma,Monza,Serie A,2026-09-06 16:30:00+00:00
2026-09-06,Bologna,Sassuolo,Serie A,2026-09-06 16:30:00+00:00
2026-09-06,Inter,Napoli,Serie A,2026-09-06 16:30:00+00:00
2026-09-06,Frosinone,Venezia,Serie A,2026-09-06 16:30:00+00:00
2026-09-06,Fiorentina,Torino,Serie A,2026-09-06 16:30:00+00:00
2026-09-06,Udinese,Lazio,Serie A,2026-09-06 16:30:00+00:00
2026-09-06,Juventus,Milan,Serie A,2026-09-06 16:30:00+00:00
2026-09-13,Napoli,Bologna,Serie A,2026-09-13 16:30:00+00:00
2026-09-13,Lazio,Milan,Serie A,2026-09-13 16:30:00+00:00
2026-09-13,Inter,Udinese,Serie A,2026-09-13 16:30:00+00:00
2026-09-13,Como,Parma,Serie A,2026-09-13 16:30:00+00:00
2026-09-13,Torino,Roma,Serie A,2026-09-13 16:30:00+00:00
2026-09-13,Genoa,Frosinone,Serie A,2026-09-13 16:30:00+00:00
2026-09-13,Lecce,Monza,Serie A,2026-09-13 16:30:00+00:00
2026-09-13,Venezia,Fiorentina,Serie A,2026-09-13 16:30:00+00:00
2026-09-13,Atalanta,Cagliari,Serie A,2026-09-13 16:30:00+00:00
2026-09-13,Sassuolo,Juventus,Serie A,2026-09-13 16:30:00+00:00
2026-09-20,Frosinone,Como,Serie A,2026-09-20 16:30:00+00:00
2026-09-20,Roma,Inter,Serie A,2026-09-20 16:30:00+00:00
2026-09-20,Venezia,Lazio,Serie A,2026-09-20 16:30:00+00:00
2026-09-20,Juventus,Atalanta,Serie A,2026-09-20 16:30:00+00:00
2026-09-20,Monza,Sassuolo,Serie A,2026-09-20 16:30:00+00:00
2026-09-20,Milan,Lecce,Serie A,2026-09-20 16:30:00+00:00
2026-09-20,Bologna,Torino,Serie A,2026-09-20 16:30:00+00:00
2026-09-20,Udinese,Cagliari,Serie A,2026-09-20 16:30:00+00:00
2026-09-20,Parma,Genoa,Serie A,2026-09-20 16:30:00+00:00
2026-09-20,Fiorentina,Napoli,Serie A,2026-09-20 16:30:00+00:00
2026-10-11,Atalanta,Venezia,Serie A,2026-10-11 16:30:00+00:00
2026-10-11,Sassuolo,Milan,Serie A,2026-10-11 16:30:00+00:00
2026-10-11,Lecce,Bologna,Serie A,2026-10-11 16:30:00+00:00
2026-10-11,Inter,Parma,Serie A,2026-10-11 16:30:00+00:00
2026-10-11,Lazio,Monza,Serie A,2026-10-11 16:30:00+00:00
2026-10-11,Cagliari,Juventus,Serie A,2026-10-11 16:30:00+00:00
2026-10-11,Como,Roma,Serie A,2026-10-11 16:30:00+00:00
2026-10-11,Napoli,Frosinone,Serie A,2026-10-11 16:30:00+00:00
2026-10-11,Torino,Udinese,Serie A,2026-10-11 16:30:00+00:00
2026-10-11,Genoa,Fiorentina,Serie A,2026-10-11 16:30:00+00:00
2026-10-18,Milan,Atalanta,Serie A,2026-10-18 16:30:00+00:00
2026-10-18,Juventus,Lazio,Serie A,2026-10-18 16:30:00+00:00
2026-10-18,Bologna,Inter,Serie A,2026-10-18 16:30:00+00:00
2026-10-18,Roma,Genoa,Serie A,2026-10-18 16:30:00+00:00
2026-10-18,Frosinone,Sassuolo,Serie A,2026-10-18 16:30:00+00:00
2026-10-18,Udinese,Lecce,Serie A,2026-10-18 16:30:00+00:00
2026-10-18,Venezia,Napoli,Serie A,2026-10-18 16:30:00+00:00
2026-10-18,Monza,Cagliari,Serie A,2026-10-18 16:30:00+00:00
2026-10-18,Fiorentina,Como,Serie A,2026-10-18 16:30:00+00:00
2026-10-18,Parma,Torino,Serie A,2026-10-18 16:30:00+00:00
2026-10-25,Udinese,Milan,Serie A,2026-10-25 17:30:00+00:00
2026-10-25,Cagliari,Bologna,Serie A,2026-10-25 17:30:00+00:00
2026-10-25,Como,Sassuolo,Serie A,2026-10-25 17:30:00+00:00
2026-10-25,Atalanta,Frosinone,Serie A,2026-10-25 17:30:00+00:00
2026-10-25,Inter,Fiorentina,Serie A,2026-10-25 17:30:00+00:00
2026-10-25,Napoli,Roma,Serie A,2026-10-25 17:30:00+00:00
2026-10-25,Lazio,Parma,Serie A,2026-10-25 17:30:00+00:00
2026-10-25,Lecce,Juventus,Serie A,2026-10-25 17:30:00+00:00
2026-10-25,Torino,Monza,Serie A,2026-10-25 17:30:00+00:00
2026-10-25,Genoa,Venezia,Serie A,2026-10-25 17:30:00+00:00
2026-10-28,Milan,Bologna,Serie A,2026-10-28 17:30:00+00:00
2026-10-28,Venezia,Inter,Serie A,2026-10-28 17:30:00+00:00
2026-10-28,Fiorentina,Atalanta,Serie A,2026-10-28 17:30:00+00:00
2026-10-28,Genoa,Juventus,Serie A,2026-10-28 17:30:00+00:00
2026-10-28,Parma,Udinese,Serie A,2026-10-28 17:30:00+00:00
2026-10-28,Monza,Napoli,Serie A,2026-10-28 17:30:00+00:00
2026-10-28,Roma,Cagliari,Serie A,2026-10-28 17:30:00+00:00
2026-10-28,Sassuolo,Lazio,Serie A,2026-10-28 17:30:00+00:00
2026-10-28,Torino,Como,Serie A,2026-10-28 17:30:00+00:00
2026-10-28,Frosinone,Lecce,Serie A,2026-10-28 17:30:00+00:00
2026-11-01,Bologna,Monza,Serie A,2026-11-01 17:30:00+00:00
2026-11-01,Lecce,Genoa,Serie A,2026-11-01 17:30:00+00:00
2026-11-01,Sassuolo,Fiorentina,Serie A,2026-11-01 17:30:00+00:00
2026-11-01,Udinese,Roma,Serie A,2026-11-01 17:30:00+00:00
2026-11-01,Como,Venezia,Serie A,2026-11-01 17:30:00+00:00
2026-11-01,Frosinone,Torino,Serie A,2026-11-01 17:30:00+00:00
2026-11-01,Atalanta,Parma,Serie A,2026-11-01 17:30:00+00:00
2026-11-01,Lazio,Cagliari,Serie A,2026-11-01 17:30:00+00:00
2026-11-01,Juventus,Napoli,Serie A,2026-11-01 17:30:00+00:00
2026-11-01,Milan,Inter,Serie A,2026-11-01 17:30:00+00:00
2026-11-08,Fiorentina,Juventus,Serie A,2026-11-08 17:30:00+00:00
2026-11-08,Inter,Como,Serie A,2026-11-08 17:30:00+00:00
2026-11-08,Roma,Sassuolo,Serie A,2026-11-08 17:30:00+00:00
2026-11-08,Torino,Lecce,Serie A,2026-11-08 17:30:00+00:00
2026-11-08,Napoli,Lazio,Serie A,2026-11-08 17:30:00+00:00
2026-11-08,Cagliari,Frosinone,Serie A,2026-11-08 17:30:00+00:00
2026-11-08,Parma,Bologna,Serie A,2026-11-08 17:30:00+00:00
2026-11-08,Genoa,Milan,Serie A,2026-11-08 17:30:00+00:00
2026-11-08,Venezia,Udinese,Serie A,2026-11-08 17:30:00+00:00
2026-11-08,Monza,Atalanta,Serie A,2026-11-08 17:30:00+00:00
2026-11-22,Monza,Fiorentina,Serie A,2026-11-22 17:30:00+00:00
2026-11-22,Atalanta,Inter,Serie A,2026-11-22 17:30:00+00:00
2026-11-22,Juventus,Venezia,Serie A,2026-11-22 17:30:00+00:00
2026-11-22,Bologna,Udinese,Serie A,2026-11-22 17:30:00+00:00
2026-11-22,Milan,Frosinone,Serie A,2026-11-22 17:30:00+00:00
2026-11-22,Sassuolo,Genoa,Serie A,2026-11-22 17:30:00+00:00
2026-11-22,Como,Cagliari,Serie A,2026-11-22 17:30:00+00:00
2026-11-22,Parma,Roma,Serie A,2026-11-22 17:30:00+00:00
2026-11-22,Napoli,Torino,Serie A,2026-11-22 17:30:00+00:00
2026-11-22,Lazio,Lecce,Serie A,2026-11-22 17:30:00+00:00
2026-11-29,Sassuolo,Napoli,Serie A,2026-11-29 17:30:00+00:00
2026-11-29,Cagliari,Milan,Serie A,2026-11-29 17:30:00+00:00
2026-11-29,Como,Juventus,Serie A,2026-11-29 17:30:00+00:00
2026-11-29,Roma,Monza,Serie A,2026-11-29 17:30:00+00:00
2026-11-29,Frosinone,Parma,Serie A,2026-11-29 17:30:00+00:00
2026-11-29,Torino,Lazio,Serie A,2026-11-29 17:30:00+00:00
2026-11-29,Venezia,Bologna,Serie A,2026-11-29 17:30:00+00:00
2026-11-29,Lecce,Atalanta,Serie A,2026-11-29 17:30:00+00:00
2026-11-29,Udinese,Fiorentina,Serie A,2026-11-29 17:30:00+00:00
2026-11-29,Inter,Genoa,Serie A,2026-11-29 17:30:00+00:00
2026-12-06,Genoa,Torino,Serie A,2026-12-06 17:30:00+00:00
2026-12-06,Juventus,Udinese,Serie A,2026-12-06 17:30:00+00:00
2026-12-06,Frosinone,Inter,Serie A,2026-12-06 17:30:00+00:00
2026-12-06,Bologna,Roma,Serie A,2026-12-06 17:30:00+00:00
2026-12-06,Fiorentina,Cagliari,Serie A,2026-12-06 17:30:00+00:00
2026-12-06,Lazio,Atalanta,Serie A,2026-12-06 17:30:00+00:00
2026-12-06,Milan,Parma,Serie A,2026-12-06 17:30:00+00:00
2026-12-06,Venezia,Sassuolo,Serie A,2026-12-06 17:30:00+00:00
2026-12-06,Monza,Como,Serie A,2026-12-06 17:30:00+00:00
2026-12-06,Napoli,Lecce,Serie A,2026-12-06 17:30:00+00:00
2026-12-13,Napoli,Milan,Serie A,2026-12-13 17:30:00+00:00
2026-12-13,Como,Bologna,Serie A,2026-12-13 17:30:00+00:00
2026-12-13,Udinese,Frosinone,Serie A,2026-12-13 17:30:00+00:00
2026-12-13,Lecce,Sassuolo,Serie A,2026-12-13 17:30:00+00:00
2026-12-13,Parma,Fiorentina,Serie A,2026-12-13 17:30:00+00:00
2026-12-13,Cagliari,Venezia,Serie A,2026-12-13 17:30:00+00:00
2026-12-13,Inter,Torino,Serie A,2026-12-13 17:30:00+00:00
2026-12-13,Juventus,Monza,Serie A,2026-12-13 17:30:00+00:00
2026-12-13,Atalanta,Genoa,Serie A,2026-12-13 17:30:00+00:00
2026-12-13,Lazio,Roma,Serie A,2026-12-13 17:30:00+00:00
2026-12-20,Milan,Como,Serie A,2026-12-20 17:30:00+00:00
2026-12-20,Sassuolo,Parma,Serie A,2026-12-20 17:30:00+00:00
2026-12-20,Roma,Juventus,Serie A,2026-12-20 17:30:00+00:00
2026-12-20,Frosinone,Lazio,Serie A,2026-12-20 17:30:00+00:00
2026-12-20,Atalanta,Napoli,Serie A,2026-12-20 17:30:00+00:00
2026-12-20,Fiorentina,Bologna,Serie A,2026-12-20 17:30:00+00:00
2026-12-20,Genoa,Udinese,Serie A,2026-12-20 17:30:00+00:00
2026-12-20,Lecce,Inter,Serie A,2026-12-20 17:30:00+00:00
2026-12-20,Torino,Cagliari,Serie A,2026-12-20 17:30:00+00:00
2026-12-20,Venezia,Monza,Serie A,2026-12-20 17:30:00+00:00
2027-01-03,Udinese,Atalanta,Serie A,2027-01-03 12:00:00+00:00
2027-01-03,Como,Lecce,Serie A,2027-01-03 12:00:00+00:00
2027-01-03,Roma,Frosinone,Serie A,2027-01-03 12:00:00+00:00
2027-01-03,Parma,Napoli,Serie A,2027-01-03 12:00:00+00:00
2027-01-03,Cagliari,Genoa,Serie A,2027-01-03 12:00:00+00:00
2027-01-03,Torino,Venezia,Serie A,2027-01-03 12:00:00+00:00
2027-01-03,Monza,Milan,Serie A,2027-01-03 12:00:00+00:00
2027-01-03,Inter,Sassuolo,Serie A,2027-01-03 12:00:00+00:00
2027-01-03,Bologna,Juventus,Serie A,2027-01-03 12:00:00+00:00
